White,Black,Piece White,Capture White,Check White,White King,Piece-Action White,Time White,Eval White,RemTime White,Piece Black,Capture Black,Check Black,Black King,Piece-Action Black,Time Black,Eval Black,RemTime Black,GameID
e4,c5,Pawn,no capture,no check,e1,Pawn-no capture,2.0,0.33,7198.0,Pawn,no capture,no check,e8,Pawn-no capture,58.0,0.32,7142.0,0
Nf3,e6,Knight,no capture,no check,e1,Knight-no capture,7.0,0.0,7191.0,Pawn,no capture,no check,e8,Pawn-no capture,78.0,0.13,7064.0,0
d4,cxd4,Pawn,no capture,no check,e1,Pawn-no capture,7.0,0.42,7184.0,Pawn,capture,no check,e8,Pawn-capture,25.0,0.38,7039.0,0
Nxd4,Nc6,Knight,capture,no check,e1,Knight-capture,7.0,0.37,7177.0,Knight,no capture,no check,e8,Knight-no capture,11.0,0.42,7028.0,0
Bf4,d6,Bishop,no capture,no check,e1,Bishop-no capture,86.0,0.26,7091.0,Pawn,no capture,no check,e8,Pawn-no capture,166.0,0.46,6862.0,0
Nxc6,bxc6,Knight,capture,no check,e1,Knight-capture,25.0,0.32,7066.0,Pawn,capture,no check,e8,Pawn-capture,5.0,0.35,6857.0,0
Bd3,Ne7,Bishop,no capture,no check,e1,Bishop-no capture,6.0,0.2,7060.0,Knight,no capture,no check,e8,Knight-no capture,377.0,0.23,6480.0,0
c4,g6,Pawn,no capture,no check,e1,Pawn-no capture,498.0,0.25,6562.0,Pawn,no capture,no check,e8,Pawn-no capture,884.0,1.09,5596.0,0
c5,e5,Pawn,no capture,no check,e1,Pawn-no capture,953.0,1.09,5609.0,Pawn,no capture,no check,e8,Pawn-no capture,1246.0,1.4,4350.0,0
Bg5,Bg7,Bishop,no capture,no check,e1,Bishop-no capture,57.0,1.42,5552.0,Bishop,no capture,no check,e8,Bishop-no capture,179.0,1.71,4171.0,0
cxd6,Qxd6,Pawn,capture,no check,e1,Pawn-capture,427.0,1.89,5125.0,Queen,capture,no check,e8,Queen-capture,7.0,1.82,4164.0,0
O-O,Be6,Castle,no capture,no check,g1,Castle-no capture,38.0,1.92,5087.0,Bishop,no capture,no check,e8,Bishop-no capture,342.0,1.77,3822.0,0
